funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,lat,lng,founded_year,category_advertising,category_analytics,category_ecommerce,category_education,category_enterprise,category_games_video,category_mobile,category_other,category_social,category_software,category_web,category_automotive,category_biotech,category_cleantech,category_consulting,category_design,category_fashion,category_finance,category_government,category_hardware,category_health,category_hospitality,category_legal,category_local,category_manufacturing,category_medical,category_messaging,category_music,category_nanotech,category_network_hosting,category_news,category_nonprofit,category_pets,category_photo_video,category_public_relations,category_real_estate,category_search,category_security,category_semiconductor,category_sports,category_transportation,category_travel,country_code_generalized,country_CAN,country_DEU,country_ESP,country_FRA,country_GBR,country_IRL,country_ISR,country_NLD,country_RUS,country_USA,country_other,isClosed,active_years,active_days,target,first_funding_days,last_funding_days
3.0,2309232.0,2005,2005,1.0,1.0,51.5073509,-0.1277583,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBR,0,0,0,0,1,0,0,0,0,0,0,1,21.0,7665.0,1,2002.0,3098.0
1.0,4000000.0,2010,2013,2.0,4.0,37.36883,-122.0363496,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,11.0,4015.0,1,6977.0,6977.0
1.0,6321095.0,2011,2011,1.0,1.0,57.609791,-3.61998,2008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBR,0,0,0,0,1,0,0,0,0,0,0,1,13.0,4745.0,1,6277.0,6277.0
1.0,4000000.0,2011,2011,1.0,5.0,42.3600825,-71.0588801,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,11.0,4015.0,1,6709.0,6709.0
1.0,500000.0,2007,2007,1.0,1.0,25.790654,-80.1300455,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,14.0,5110.0,1,5942.0,5942.0
1.0,48501.0,2012,2012,2.0,7.0,37.7272727,-89.2167501,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,10.0,3650.0,1,6406.0,6406.0
1.0,750000.0,2012,2013,2.0,5.0,31.768319,35.21371,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ISR,0,0,0,0,0,0,1,0,0,0,0,1,11.0,4015.0,1,4924.0,4924.0
1.0,1500000.0,2009,2009,1.0,1.0,51.5073509,-0.1277583,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBR,0,0,0,0,1,0,0,0,0,0,0,1,13.0,4745.0,1,4924.0,4924.0
2.0,100000.0,2011,2011,1.0,3.0,40.5865396,-122.3916754,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,10.0,3650.0,1,6416.0,6416.0
1.0,10000000.0,2013,2013,1.0,7.0,37.7749295,-122.4194155,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,14.0,5110.0,1,6760.0,6760.0
